Run Id,Source,Key,Distance,Duration (ms),Duration,Speed,HR Average,HR Max,HR Min,Start Date,Start Date (utc),Created Date (utc),Updated Date (utc),Is Deleted,Is Manual Edit,Description
42181440,GarminHealth,16754|2025-05-24T14:30:42,5.01352,1871126,31:11,9.64588809091424,,,,24/05/25 11:31 AM,24/05/25 2:31 PM,24/05/25 3:10 PM,24/05/25 3:10 PM,False,
42102870,GarminHealth,16754|2025-05-17T17:05:58,5.00687,1826334,30:26,9.86935138917635,,,,17/05/25 2:06 PM,17/05/25 5:06 PM,17/05/25 6:01 PM,17/05/25 6:01 PM,False,
42029803,GarminHealth,16754|2025-05-10T17:04:43,5.00041,1952498,32:32,9.21971546193645,,,,10/05/25 2:05 PM,10/05/25 5:05 PM,10/05/25 6:20 PM,10/05/25 6:20 PM,False,
41972820,GarminHealth,16754|2025-05-04T18:01:13,5.00357,1837098,30:37,9.80505775957516,,,,4/05/25 3:01 PM,4/05/25 6:01 PM,4/05/25 7:19 PM,4/05/25 7:19 PM,False,
41937864,GarminHealth,16754|2025-05-01T16:58:30,5,1797524,29:57,10.0137745031499,,,,1/05/25 1:59 PM,1/05/25 4:59 PM,1/05/25 7:20 PM,1/05/25 7:20 PM,False,
41874911,GarminHealth,16754|2025-04-26T13:11:12,5.00235,1843133,30:43,9.7705700022733,,,,26/04/25 10:11 AM,26/04/25 1:11 PM,26/04/25 3:31 PM,26/04/25 3:31 PM,False,
41828059,GarminHealth,16754|2025-04-21T17:12:21,5,1780780,29:40,10.1079302328193,,,,21/04/25 2:12 PM,21/04/25 5:12 PM,21/04/25 6:23 PM,21/04/25 6:23 PM,False,
41794498,GarminHealth,16754|2025-04-18T17:01:33,5,1811970,30:11,9.93393930363085,,,,18/04/25 2:02 PM,18/04/25 5:02 PM,18/04/25 6:03 PM,18/04/25 6:03 PM,False,
41760225,GarminHealth,16754|2025-04-15T18:50:37,5,1820938,30:20,9.8850153052987,,,,15/04/25 3:51 PM,15/04/25 6:51 PM,15/04/25 7:26 PM,15/04/25 7:26 PM,False,
41725895,GarminHealth,16754|2025-04-12T17:30:44,5.00317,1874730,31:14,9.6074698756621,,,,12/04/25 2:31 PM,12/04/25 5:31 PM,12/04/25 7:19 PM,12/04/25 7:19 PM,False,
41658738,GarminHealth,16754|2025-04-05T17:37:18,5.00543,1844574,30:44,9.76894827748846,,,,5/04/25 2:37 PM,5/04/25 5:37 PM,5/04/25 6:32 PM,5/04/25 6:32 PM,False,
41628521,GarminHealth,16754|2025-04-02T18:44:58,5.0029,1855346,30:55,9.70732143761864,,,,2/04/25 3:45 PM,2/04/25 6:45 PM,2/04/25 9:00 PM,2/04/25 9:00 PM,False,
41585129,GarminHealth,16754|2025-03-29T13:50:16,5,1906886,31:46,9.43947357104725,,,,29/03/25 10:50 AM,29/03/25 1:50 PM,29/03/25 3:01 PM,29/03/25 3:01 PM,False,
41560274,GarminHealth,16754|2025-03-26T19:18:22,5.00029,1860243,31:00,9.67671642898267,,,,26/03/25 4:18 PM,26/03/25 7:18 PM,26/03/25 8:22 PM,26/03/25 8:22 PM,False,
41518801,GarminHealth,16754|2025-03-22T17:18:04,5,1819470,30:19,9.89299081600686,,,,22/03/25 2:18 PM,22/03/25 5:18 PM,22/03/25 6:11 PM,22/03/25 6:11 PM,False,
41491309,GarminHealth,16754|2025-03-19T19:04:19,5.00254,1849443,30:49,9.73760424084441,,,,19/03/25 4:04 PM,19/03/25 7:04 PM,19/03/25 9:03 PM,19/03/25 9:03 PM,False,
41449835,GarminHealth,16754|2025-03-15T16:39:33,5,1863488,31:03,9.65930556032558,,,,15/03/25 1:40 PM,15/03/25 4:40 PM,15/03/25 5:42 PM,15/03/25 5:42 PM,False,
41230466,GarminHealth,16754|2025-02-22T12:20:56,5,1918557,31:58,9.38205119785339,,,,22/02/25 9:21 AM,22/02/25 12:21 PM,22/02/25 5:57 PM,22/02/25 5:57 PM,False,
41177114,GarminHealth,16754|2025-02-16T19:41:08,5,1825105,30:25,9.86244627021459,,,,16/02/25 4:41 PM,16/02/25 7:41 PM,16/02/25 8:35 PM,16/02/25 8:35 PM,False,
41109920,GarminHealth,16754|2025-02-09T11:16:07,5.00252,1839603,30:39,9.78965135412369,,,,9/02/25 9:16 AM,9/02/25 11:16 AM,9/02/25 12:48 PM,9/02/25 12:48 PM,False,
41064039,GarminHealth,16754|2025-02-04T20:14:02,5,1838649,30:38,9.78979674750319,,,,4/02/25 6:14 PM,4/02/25 8:14 PM,4/02/25 9:15 PM,4/02/25 9:15 PM,False,
41031753,GarminHealth,16754|2025-02-01T17:50:46,5.00157,1893827,31:33,9.50754847195652,,,,1/02/25 3:51 PM,1/02/25 5:51 PM,1/02/25 8:19 PM,1/02/25 8:19 PM,False,
40988421,GarminHealth,16754|2025-01-28T18:42:13,5,1854128,30:54,9.70806761992699,,,,28/01/25 4:42 PM,28/01/25 6:42 PM,28/01/25 7:37 PM,28/01/25 7:37 PM,False,
40951698,GarminHealth,16754|2025-01-25T13:36:02,5.00296,1892204,31:32,9.51834791597523,,,,25/01/25 11:36 AM,25/01/25 1:36 PM,25/01/25 2:42 PM,25/01/25 2:42 PM,False,
40917293,GarminHealth,16754|2025-01-21T20:14:35,5.00125,1852954,30:52,9.71664704034747,,,,21/01/25 6:15 PM,21/01/25 8:15 PM,21/01/25 10:28 PM,21/01/25 10:28 PM,False,
40878559,GarminHealth,16754|2025-01-18T16:46:25,5,1789403,29:49,10.0592208686361,,,,18/01/25 2:46 PM,18/01/25 4:46 PM,18/01/25 6:12 PM,18/01/25 6:12 PM,False,
40840835,GarminHealth,16754|2025-01-14T19:42:40,5,1847371,30:47,9.74357614144641,,,,14/01/25 5:43 PM,14/01/25 7:43 PM,14/01/25 9:01 PM,14/01/25 9:01 PM,False,
40809247,GarminHealth,16754|2025-01-11T17:15:25,5.00117,1823803,30:23,9.87179646047298,,,,11/01/25 3:15 PM,11/01/25 5:15 PM,11/01/25 7:28 PM,11/01/25 7:28 PM,False,
40764468,GarminHealth,16754|2025-01-07T19:11:02,5,1823382,30:23,9.87176576274198,,,,7/01/25 5:11 PM,7/01/25 7:11 PM,7/01/25 8:32 PM,7/01/25 8:32 PM,False,
40680300,GarminHealth,16754|2025-01-02T20:15:40,5.0001,1825396,30:25,9.86107124152787,,,,2/01/25 6:16 PM,2/01/25 8:16 PM,2/01/25 9:11 PM,2/01/25 9:11 PM,False,
40596181,GarminHealth,16754|2024-12-29T16:47:58,5,1817850,30:17,9.90180707979206,,,,29/12/24 2:48 PM,29/12/24 4:48 PM,29/12/24 5:53 PM,29/12/24 5:53 PM,False,
40536448,GarminHealth,16754|2024-12-23T19:30:39,5,1777800,29:37,10.124873439082,,,,23/12/24 5:31 PM,23/12/24 7:31 PM,23/12/24 9:22 PM,23/12/24 9:22 PM,False,
40519413,GarminHealth,16754|2024-12-21T17:31:35,5.00005,1772525,29:32,10.1551064159885,,,,21/12/24 3:32 PM,21/12/24 5:32 PM,21/12/24 9:33 PM,21/12/24 9:33 PM,False,
40492797,GarminHealth,16754|2024-12-18T18:36:13,5,1812765,30:12,9.92958270928664,,,,18/12/24 4:36 PM,18/12/24 6:36 PM,18/12/24 7:29 PM,18/12/24 7:29 PM,False,
40447243,GarminHealth,16754|2024-12-14T18:09:48,5,1802597,30:02,9.98559300830968,,,,14/12/24 4:10 PM,14/12/24 6:10 PM,14/12/24 7:56 PM,14/12/24 7:56 PM,False,
40373463,GarminHealth,16754|2024-12-07T17:00:28,5,1840993,30:40,9.77733212456538,,,,7/12/24 3:00 PM,7/12/24 5:00 PM,7/12/24 5:49 PM,7/12/24 5:49 PM,False,
40307898,GarminHealth,16754|2024-11-30T19:23:36,5.00035,1810119,30:10,9.94479368483509,,,,30/11/24 5:24 PM,30/11/24 7:24 PM,30/11/24 7:58 PM,30/11/24 7:58 PM,False,
40259052,Manual,16754|2024-11-26T20:00:00,5,1800000,30:00,10,,,,26/11/24 5:00 PM,26/11/24 8:00 PM,26/11/24 11:41 PM,26/11/24 11:41 PM,True,
40222362,GarminHealth,16754|2024-11-23T18:24:14,5,1857677,30:57,9.68952083704541,,,,23/11/24 4:24 PM,23/11/24 6:24 PM,23/11/24 7:33 PM,23/11/24 7:33 PM,False,
40123864,GarminHealth,16754|2024-11-16T16:35:50,5.00159,1825267,30:25,9.86470691685107,,,,16/11/24 2:36 PM,16/11/24 4:36 PM,16/11/24 5:29 PM,16/11/24 5:29 PM,False,
40085132,GarminHealth,16754|2024-11-12T20:02:34,5,1695645,28:15,10.6154295268172,,,,12/11/24 6:03 PM,12/11/24 8:03 PM,12/11/24 8:42 PM,12/11/24 8:42 PM,False,
40050221,GarminHealth,16754|2024-11-09T17:27:57,5,1746864,29:06,10.3041793751546,,,,9/11/24 3:28 PM,9/11/24 5:28 PM,9/11/24 6:25 PM,9/11/24 6:25 PM,False,
40007108,GarminHealth,16754|2024-11-05T19:02:51,5,1780273,29:40,10.1108088478565,,,,5/11/24 5:03 PM,5/11/24 7:03 PM,5/11/24 9:03 PM,5/11/24 9:03 PM,False,
39973374,GarminHealth,16754|2024-11-02T16:39:36,5,1851734,30:51,9.72061862016899,,,,2/11/24 1:40 PM,2/11/24 4:40 PM,2/11/24 5:38 PM,2/11/24 5:38 PM,False,
39940089,GarminHealth,16754|2024-10-29T18:52:32,5,1788562,29:48,10.0639508163541,,,,29/10/24 3:53 PM,29/10/24 6:53 PM,29/10/24 8:25 PM,29/10/24 8:25 PM,False,
39902767,GarminHealth,16754|2024-10-26T16:55:58,5.00397,1862560,31:02,9.67179151275664,,,,26/10/24 1:56 PM,26/10/24 4:56 PM,26/10/24 5:56 PM,26/10/24 5:56 PM,False,
39865178,GarminHealth,16754|2024-10-22T19:40:25,5,1814280,30:14,9.9212910906806,,,,22/10/24 4:40 PM,22/10/24 7:40 PM,22/10/24 8:40 PM,22/10/24 8:40 PM,False,
